Number of Vertices,Time Q1 (ms),Time Q2 (ms)
1,0.009059906005859375,0.005245208740234375
2,0.0152587890625,0.0069141387939453125
3,0.02193450927734375,0.010967254638671875
4,0.027179718017578125,0.010967254638671875
5,0.04696846008300781,0.02384185791015625
6,0.051975250244140625,0.0209808349609375
7,0.07295608520507812,0.035762786865234375
8,0.10228157043457031,0.04982948303222656
9,0.11610984802246094,0.05507469177246094
10,0.15997886657714844,0.08392333984375
11,0.19788742065429688,0.10704994201660156
12,0.21791458129882812,0.10800361633300781
13,0.21457672119140625,0.08916854858398438
14,0.30803680419921875,0.1571178436279297
15,0.37598609924316406,0.1957416534423828
16,0.3540515899658203,0.16307830810546875
17,0.4417896270751953,0.1919269561767578
18,0.5228519439697266,0.25582313537597656
19,0.48422813415527344,0.19979476928710938
20,0.5402565002441406,0.21195411682128906
21,0.6649494171142578,0.2982616424560547
22,0.7112026214599609,0.30684471130371094
23,0.7920265197753906,0.33783912658691406
24,0.762939453125,0.3139972686767578
25,0.9250640869140625,0.3762245178222656
26,1.0340213775634766,0.4489421844482422
27,1.226186752319336,0.47516822814941406
28,1.2040138244628906,0.5030632019042969
29,1.25885009765625,0.49996376037597656
30,1.302957534790039,0.5218982696533203
31,1.4581680297851562,0.5750656127929688
32,1.825094223022461,0.7359981536865234
33,1.7087459564208984,0.6680488586425781
34,1.7118453979492188,0.6380081176757812
35,1.9230842590332031,0.7460117340087891
36,1.8460750579833984,0.6878376007080078
37,1.940011978149414,0.7197856903076172
38,2.2399425506591797,0.8797645568847656
39,2.3517608642578125,0.9119510650634766
40,2.488851547241211,0.8821487426757812
41,2.7060508728027344,1.0051727294921875
42,2.6497840881347656,0.9751319885253906
43,2.6230812072753906,0.9059906005859375
44,3.0829906463623047,1.1260509490966797
45,3.389120101928711,1.3189315795898438
46,2.814054489135742,0.9369850158691406
47,3.184080123901367,1.1119842529296875
48,3.7648677825927734,1.4009475708007812
49,3.5409927368164062,1.1980533599853516
50,4.03594970703125,1.386880874633789
51,4.279136657714844,1.4801025390625
52,4.430055618286133,1.5208721160888672
53,4.528999328613281,1.4820098876953125
54,4.661083221435547,1.6503334045410156
55,4.368782043457031,1.4638900756835938
56,5.331993103027344,1.8267631530761719
57,5.669116973876953,1.9278526306152344
58,4.945993423461914,1.6262531280517578
59,5.443096160888672,1.8460750579833984
60,5.515098571777344,1.8858909606933594
61,5.347013473510742,1.7688274383544922
62,5.834102630615234,1.8391609191894531
63,6.269931793212891,2.0890235900878906
64,6.275653839111328,1.9419193267822266
65,6.550073623657227,2.1550655364990234
66,6.504058837890625,2.165079116821289
67,6.947040557861328,2.2258758544921875
68,7.128000259399414,2.2068023681640625
69,8.105039596557617,2.531766891479492
70,7.5531005859375,2.438068389892578
71,7.808923721313477,2.500772476196289
72,7.812023162841797,2.640962600708008
73,8.508920669555664,2.8808116912841797
74,8.35418701171875,2.705812454223633
75,8.723020553588867,2.6497840881347656
76,9.14311408996582,2.790689468383789
77,9.279012680053711,2.783060073852539
78,9.433746337890625,2.875804901123047
79,10.37287712097168,3.2172203063964844
80,10.097026824951172,3.2858848571777344
81,11.083126068115234,3.6177635192871094
82,10.769844055175781,3.3838748931884766
83,11.609077453613281,3.6139488220214844
84,10.8642578125,3.471851348876953
85,11.900901794433594,3.6101341247558594
86,11.703968048095703,3.731966018676758
87,12.44497299194336,3.8220882415771484
88,11.322021484375,3.470182418823242
89,12.487173080444336,3.668069839477539
90,12.681007385253906,3.7779808044433594
91,13.396978378295898,4.056692123413086
92,13.632059097290039,4.144906997680664
93,14.390945434570312,4.273891448974609
94,14.396190643310547,4.408836364746094
95,15.40827751159668,4.474878311157227
96,15.261173248291016,4.545927047729492
97,16.05987548828125,4.6100616455078125
98,15.578985214233398,4.770994186401367
99,15.813827514648438,4.430055618286133
100,16.251325607299805,4.649877548217773
101,16.98780059814453,4.918098449707031
102,19.90199089050293,4.873991012573242
103,17.88496971130371,5.159854888916016
104,17.380714416503906,4.860162734985352
105,18.270015716552734,5.120038986206055
106,18.197298049926758,5.4302215576171875
107,18.20206642150879,5.245208740234375
108,18.370866775512695,5.347013473510742
109,18.957138061523438,5.597114562988281
110,19.268035888671875,5.38325309753418
111,20.42078971862793,5.621910095214844
112,19.927024841308594,5.942821502685547
113,19.668102264404297,5.4721832275390625
114,21.285057067871094,6.34002685546875
115,20.684242248535156,5.6209564208984375
116,20.473003387451172,5.912065505981445
117,22.963285446166992,6.222248077392578
118,23.03004264831543,6.77180290222168
119,22.861719131469727,6.450176239013672
120,22.686004638671875,6.21485710144043
121,24.21712875366211,6.857395172119141
122,24.002790451049805,7.079839706420898
123,25.394916534423828,6.592988967895508
124,23.53525161743164,6.431341171264648
125,25.52199363708496,6.746053695678711
126,26.09419822692871,7.227897644042969
127,26.61299705505371,7.325887680053711
128,26.000261306762695,7.056951522827148
129,26.858806610107422,7.206916809082031
130,28.27286720275879,7.873058319091797
131,28.35822105407715,7.516145706176758
132,29.18696403503418,7.760763168334961
133,28.90610694885254,7.761955261230469
134,28.872966766357422,7.779121398925781
135,27.65178680419922,7.116079330444336
136,30.926227569580078,8.500099182128906
137,31.730175018310547,8.522748947143555
138,31.042098999023438,8.649349212646484
139,32.041072845458984,8.726119995117188
140,33.15424919128418,8.883953094482422
141,32.71985054016113,8.399009704589844
142,33.586978912353516,9.046077728271484
143,35.26616096496582,9.10806655883789
144,32.6080322265625,8.69297981262207
145,35.73179244995117,9.67097282409668
146,34.925222396850586,9.369134902954102
147,36.48877143859863,9.454011917114258
148,35.87222099304199,9.554862976074219
149,36.83829307556152,9.845972061157227
150,37.719011306762695,10.281085968017578
151,37.58716583251953,9.813785552978516
152,37.13512420654297,9.824037551879883
153,37.81414031982422,9.498834609985352
154,36.80896759033203,9.321928024291992
155,40.44222831726074,10.59412956237793
156,39.44873809814453,10.453939437866211
157,39.66689109802246,10.306119918823242
158,42.945146560668945,11.037111282348633
159,42.23489761352539,10.61701774597168
160,41.44906997680664,10.937213897705078
161,44.93284225463867,11.53421401977539
162,41.65506362915039,10.886907577514648
163,44.714927673339844,11.31892204284668
164,45.08185386657715,11.479854583740234
165,44.339895248413086,11.527776718139648
166,46.16212844848633,12.13979721069336
167,48.211097717285156,12.117862701416016
168,46.03433609008789,12.336969375610352
169,47.23405838012695,11.91091537475586
170,49.50118064880371,13.04316520690918
171,48.538923263549805,12.338876724243164
172,46.70381546020508,12.112140655517578
173,50.51708221435547,12.965917587280273
174,51.24783515930176,13.2598876953125
175,50.05502700805664,12.624979019165039
176,52.83784866333008,13.650178909301758
177,50.669193267822266,12.761116027832031
178,53.93815040588379,13.356924057006836
179,55.275917053222656,13.794660568237305
180,50.8570671081543,12.630939483642578
181,54.162025451660156,12.999296188354492
182,53.78270149230957,13.360977172851562
183,57.45673179626465,13.982772827148438
184,55.88030815124512,14.164924621582031
185,56.240081787109375,13.786077499389648
186,54.823875427246094,14.29295539855957
187,58.5780143737793,14.727115631103516
188,62.773942947387695,15.250205993652344
189,62.02387809753418,14.541149139404297
190,61.11311912536621,14.950752258300781
191,61.73992156982422,14.864921569824219
192,58.515310287475586,14.60409164428711
193,62.211036682128906,15.129804611206055
194,61.788320541381836,15.217065811157227
195,63.600778579711914,15.258073806762695
196,62.56818771362305,15.342950820922852
197,67.69990921020508,15.996932983398438
198,65.45901298522949,15.914201736450195
199,67.85988807678223,16.548871994018555
200,65.79422950744629,16.251802444458008
201,69.18215751647949,16.573190689086914
202,68.37582588195801,16.579151153564453
203,68.14408302307129,16.548871994018555
204,70.30177116394043,16.809940338134766
205,69.42009925842285,17.106056213378906
206,69.69404220581055,16.87479019165039
207,71.5022087097168,17.639875411987305
208,74.27406311035156,18.360614776611328
209,74.04589653015137,18.197059631347656
210,72.96299934387207,18.39900016784668
211,78.11880111694336,18.527984619140625
212,74.53203201293945,18.409252166748047
213,78.15408706665039,18.963098526000977
214,78.25589179992676,18.71323585510254
215,79.25295829772949,19.324064254760742
216,74.45096969604492,19.054889678955078
217,80.14416694641113,19.07205581665039
218,83.29582214355469,20.444154739379883
219,83.47678184509277,20.570039749145508
220,79.65588569641113,19.264936447143555
221,89.263916015625,20.071983337402344
222,82.16595649719238,20.101308822631836
223,85.6790542602539,20.62201499938965
