Number of Vertices,Time Q1 (ms),Time Q2 (ms)
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,1.0006427764892578,0.0
6,0.0,0.0
7,0.9996891021728516,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.99945068359375
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,1.001119613647461,0.0
16,1.0004043579101562,0.0
17,1.0001659393310547,0.0
18,0.9987354278564453,0.0
19,1.9991397857666016,0.0
20,1.0004043579101562,1.001119613647461
21,2.001047134399414,0.0
22,1.0006427764892578,0.0
23,0.9856224060058594,1.001596450805664
24,0.9987354278564453,1.0001659393310547
25,1.0020732879638672,0.0
26,0.9999275207519531,1.0001659393310547
27,1.9917488098144531,1.0018348693847656
28,2.0012855529785156,0.0
29,2.000570297241211,1.0077953338623047
30,1.9893646240234375,0.9992122650146484
31,2.9997825622558594,0.0
32,2.0127296447753906,0.0
33,2.00653076171875,0.0
34,2.0067691802978516,0.9932518005371094
35,2.012968063354492,0.9942054748535156
36,3.0133724212646484,1.0001659393310547
37,3.0059814453125,1.0006427764892578
38,1.0061264038085938,0.0
39,3.0066967010498047,0.9813308715820312
40,3.007650375366211,0.0
41,3.0133724212646484,1.0001659393310547
42,4.019975662231445,0.9942054748535156
43,3.0066967010498047,1.0004043579101562
44,4.005908966064453,0.9996891021728516
45,4.005670547485352,0.9825229644775391
46,5.007743835449219,0.9999275207519531
47,5.0048828125,0.9999275207519531
48,4.994869232177734,2.001523971557617
49,5.001306533813477,1.0001659393310547
50,5.007505416870117,0.9999275207519531
51,5.001068115234375,2.00653076171875
52,7.001638412475586,2.000093460083008
53,6.00743293762207,1.0027885437011719
54,6.00743293762207,1.9943714141845703
55,5.9814453125,2.0093917846679688
56,7.001161575317383,0.9999275207519531
57,5.995273590087891,2.0003318786621094
58,7.001638412475586,2.00653076171875
59,8.005857467651367,1.0001659393310547
60,8.993387222290039,1.0025501251220703
61,9.01341438293457,1.0006427764892578
62,9.000539779663086,2.0067691802978516
63,9.001970291137695,1.9881725311279297
