Number of Vertices,Time Q1 (ms),Time Q2 (ms)
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,1.0037422180175781,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.99945068359375,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.9984970092773438
16,0.0,0.0
17,0.9999275207519531,0.0
18,0.0,0.0
19,1.0001659393310547,0.0
20,1.0008811950683594,0.0
21,0.0,0.0
22,0.0,0.0
23,1.0001659393310547,0.0
24,1.0004043579101562,0.0
25,1.0001659393310547,0.0
26,0.9999275207519531,0.0
27,1.0001659393310547,0.0
28,0.0,1.0006427764892578
29,1.0020732879638672,0.0
30,1.0023117065429688,0.0
31,0.9987354278564453,0.0
32,1.9981861114501953,0.0
33,1.0006427764892578,0.0
34,2.000093460083008,0.0
35,1.0018348693847656,0.0
36,1.0020732879638672,0.0
37,1.0008811950683594,0.0
38,1.5137195587158203,0.0
39,1.9919872283935547,0.0
40,2.000570297241211,0.0
41,1.9989013671875,0.0
42,2.0008087158203125,0.0
43,2.000570297241211,0.0
44,1.9998550415039062,0.0
45,2.0003318786621094,0.0
46,2.000093460083008,0.0
47,3.0007362365722656,0.0
48,3.000020980834961,0.0
49,2.000570297241211,0.0
50,3.000497817993164,0.0
51,3.000020980834961,0.0
52,2.9997825622558594,0.0
53,3.000497817993164,0.0
54,4.001140594482422,0.0
55,3.0002593994140625,0.0
56,3.000020980834961,0.0
57,4.000663757324219,0.0
58,4.002094268798828,0.0
59,3.9997100830078125,0.0
60,3.0007362365722656,0.0
61,4.000425338745117,0.0
62,4.023551940917969,0.0
63,4.001140594482422,0.0
64,3.9992332458496094,0.0
65,4.000663757324219,0.0
66,4.016637802124023,0.0
67,4.01616096496582,0.0
68,4.006385803222656,0.0
69,4.9991607666015625,0.0
70,4.995822906494141,0.0
71,5.0201416015625,0.0
72,5.001068115234375,1.0001659393310547
73,4.992008209228516,0.0
74,5.001068115234375,1.0063648223876953
75,6.001710891723633,0.0
