Number of Vertices,Time Q1 (ms),Time Q2 (ms)
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,1.0082721710205078,0.0
5,0.0,0.0
6,0.0,0.0
7,0.9925365447998047,0.0
8,0.0,0.0
9,0.9992122650146484,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,1.0006427764892578,0.0
14,0.0,0.0
15,0.0,0.0
16,1.0001659393310547,0.0
17,1.0020732879638672,0.0
18,1.001119613647461,0.0
19,1.001596450805664,0.0
20,0.9999275207519531,1.0004043579101562
21,2.0034313201904297,0.0
22,1.0018348693847656,0.9977817535400391
23,0.99945068359375,0.0
24,0.9984970092773438,1.0035037994384766
25,2.0003318786621094,0.0
26,1.9991397857666016,0.0
27,2.0003318786621094,0.0
28,2.0017623901367188,1.0001659393310547
29,2.0003318786621094,0.9999275207519531
30,2.999544143676758,0.0
31,2.9997825622558594,0.0
32,2.9997825622558594,0.0
33,3.0014514923095703,1.0008811950683594
34,3.000974655151367,1.0001659393310547
35,3.002643585205078,0.9980201721191406
36,4.000425338745117,1.0001659393310547
37,3.002166748046875,2.001047134399414
38,3.9997100830078125,1.0001659393310547
39,4.004001617431641,0.9977817535400391
40,3.999471664428711,0.9999275207519531
41,5.00178337097168,0.9989738464355469
42,4.00090217590332,1.9998550415039062
43,5.004167556762695,0.9975433349609375
44,5.001544952392578,2.001047134399414
45,5.000114440917969,2.2649765014648438
46,5.003213882446289,1.9989013671875
47,6.001472473144531,1.0004043579101562
48,7.000923156738281,0.9996891021728516
49,5.995035171508789,2.0003318786621094
50,7.002115249633789,1.9991397857666016
51,7.003068923950195,1.9989013671875
52,7.001399993896484,2.001523971557617
53,6.999015808105469,1.9998550415039062
54,8.002281188964844,2.01416015625
55,8.01539421081543,3.0007362365722656
56,9.008646011352539,2.0003318786621094
57,9.008646011352539,2.0003318786621094
58,9.008646011352539,1.9876956939697266
59,9.001731872558594,1.9965171813964844
60,9.997129440307617,1.9996166229248047
61,10.002613067626953,2.9942989349365234
62,10.02049446105957,3.0007362365722656
63,11.00301742553711,3.0007362365722656
