ArraySize,HybridSort,MergeSort
1,0,0
2,0.0018329999999995295,0.002041999999999433
3,0.0015409999999995705,0.0022500000000000853
4,0.002165999999999002,0.004082999999999615
5,0.0018330000000013058,0.003416999999998893
6,0.003333999999998838,0.006042000000000769
7,0.0037919999999989074,0.007500000000000284
8,0.0039999999999995595,0.007915999999999812
9,0.004625000000000767,0.009666000000001063
10,0.006584000000000145,0.011499999999998067
11,0.005667000000000755,0.011207999999999885
12,0.008041000000000409,0.014041999999998112
13,0.008250000000000313,0.015083000000000624
14,0.012583000000001121,0.01795800000000014
15,0.012083000000002286,0.020083000000001405
16,0.01162500000000044,0.019625000000001336
17,0.01270900000000097,0.022166999999999604
18,0.01404099999999886,0.023457999999999757
19,0.019458000000000197,0.02708300000000108
20,0.014624999999998778,0.02499999999999858
21,0.022624999999999673,0.031457999999998876
22,0.022042000000000783,0.03191700000000175
23,0.022624999999999673,0.03399999999999892
24,0.023917000000000854,0.03516700000000128
25,0.02691699999999919,0.038792000000000826
26,0.0275420000000004,0.04066599999999987
27,0.02937499999999993,0.04183300000000045
28,0.03433399999999942,0.04412500000000108
29,0.04095799999999983,0.04949999999999655
30,0.04241700000000037,0.050833000000000794
31,0.04983299999999957,0.0549579999999974
32,0.05099999999999838,0.05837500000000162
33,0.05004200000000125,0.05833300000000108
34,0.06408300000000011,0.06333400000000111
35,0.0491659999999996,0.05916599999999761
36,0.054624999999997925,0.05712500000000276
37,0.06429100000000076,0.06154199999999932
38,0.06712499999999721,0.0637919999999994
39,0.06516600000000139,0.06591700000000245
40,0.06024999999999636,0.06645899999999827
41,0.063917,0.06591600000000142
42,0.08966700000000216,0.07533300000000054
43,0.06420800000000071,0.07383399999999796
44,0.06137499999999818,0.07429200000000336
45,0.05995899999999921,0.0744170000000004
46,0.06708300000000378,0.0800830000000019
47,0.07466699999999804,0.0808339999999994
48,0.0776670000000017,0.083124999999999
49,0.07758299999999707,0.08412499999999667
50,0.08387499999999903,0.08595799999999798
51,0.0833750000000002,0.08874999999999744
52,0.08766600000000224,0.08879100000000406
53,0.09370899999999693,0.09495799999999832
54,0.08474999999999966,0.09124999999999872
55,0.08470900000000015,0.09320900000000165
56,0.09750000000000014,0.10004100000000093
57,0.1012080000000033,0.10650000000000048
58,0.10637499999999989,0.10754100000000477
59,0.10154100000000099,0.10812499999999758
60,0.13200000000000145,0.12066700000000097
61,0.12754200000000182,0.12025000000000219
62,0.12058299999999633,0.12099999999999866
63,0.11379099999999909,0.11679199999999668
64,0.1385419999999975,0.1302500000000002
65,0.13354200000000205,0.13312499999999616
66,0.11850000000000094,0.1265420000000006
67,0.12720799999999954,0.12758300000000133
68,0.14579200000000014,0.13624999999999687
69,0.14137500000000003,0.13862499999999756
70,0.15199999999999747,0.14387499999999775
71,0.14545800000000142,0.1351249999999986
72,0.1529999999999987,0.14458399999999827
73,0.16754199999999742,0.1511250000000004
74,0.16229199999999722,0.14812500000000028
75,0.16600000000000037,0.1504589999999979
76,0.1705830000000006,0.15724999999999767
77,0.15775000000000006,0.15237499999999926
78,0.17799999999999727,0.16045899999999946
79,0.19133300000000375,0.17329200000000355
80,0.1873749999999994,0.16754199999999742
81,0.2013329999999982,0.1769590000000001
82,0.1912499999999966,0.17650000000000077
83,0.19770800000000222,0.18670799999999943
84,0.2220419999999983,0.17941700000000083
85,0.19579099999999983,0.20024999999999693
86,0.18624999999999758,0.19158299999999784
87,0.18666699999999636,0.19108300000000256
88,0.181874999999998,0.19074999999999775
89,0.17329099999999897,0.1808749999999968
90,0.18625000000000114,0.19616599999999806
91,0.1997909999999976,0.2079999999999984
92,0.1978329999999957,0.2091659999999962
93,0.19950000000000045,0.21324999999999505
94,0.19195799999999963,0.21529100000000057
95,0.20900000000000318,0.21587500000000404
96,0.22424999999999073,0.23095899999999148
97,0.2238749999999996,0.21637500000000642
98,0.23445900000000108,0.24074999999999847
99,0.230792000000001,0.23850000000000193
100,0.22970800000000224,0.24070799999999792
101,0.22383299999999906,0.2662079999999918
102,0.23516699999999702,0.24087500000000261
103,0.24737500000000523,0.24254199999999315
104,0.23441599999999596,0.2344579999999965
105,0.23345799999999883,0.2513749999999959
106,0.22812499999999858,0.24608299999999872
107,0.2735000000000056,0.2749589999999955
108,0.25475000000000136,0.25891699999999673
109,0.2750829999999951,0.2787089999999992
110,0.26149999999999807,0.27104200000000134
111,0.27324999999999733,0.2843329999999966
