s,HybridSort,MergeSort
4,17.054082999999995,15.038290999999994
5,13.638999999999989,13.303416999999996
6,13.044374999999988,13.381500000000003
7,13.215874999999997,13.35820799999999
8,12.901250000000005,13.277999999999963
9,13.146166999999963,13.476999999999975
10,13.136584,13.211874999999992
11,13.369042000000007,13.504165999999998
12,13.181749999999994,13.481999999999971
13,13.20883299999997,13.62537500000002
14,12.691499999999962,12.995249999999942
15,12.648208999999952,13.055791
16,12.591291999999953,13.177542000000017
17,12.72741700000006,13.096791999999994
18,12.856665999999962,13.36508299999997
19,12.924874999999986,13.374375000000043
20,13.120375000000024,13.379124999999988
21,12.874749999999949,13.39908399999996
22,13.303958999999963,13.48579200000006
23,12.422625000000039,12.880540999999994
24,12.592416999999955,13.063041999999882
25,13.271416000000045,13.683541999999989
26,12.614333999999985,13.21241699999996
27,12.839209000000096,13.18608400000005
28,13.277458999999908,13.657874999999876
29,12.60245800000007,13.231874999999945
30,12.549499999999966,13.035457999999949
31,12.955209000000082,13.581000000000017
32,12.867750000000001,13.224874999999997
33,13.03470799999991,13.265333000000055
34,13.15608300000008,13.678874999999948
35,13.335459000000014,13.635375000000067
36,12.80033299999991,13.217625000000112
37,13.378917000000001,13.526292000000012
38,12.929834000000028,13.504624999999919
39,13.567250000000058,14.133790999999974
40,13.265416999999957,13.733083000000079
41,12.737542000000076,13.082042000000001
42,13.140917000000172,13.659500000000207
43,13.537750000000187,13.482083999999986
44,13.131999999999834,13.448208000000022
45,13.176958999999897,13.932916000000205
46,12.82075000000009,13.056791000000203
47,12.933708000000024,13.197374999999738
48,12.66012499999988,13.108707999999751
49,12.958874999999807,13.170000000000073
50,12.483083999999963,12.780708000000004
51,12.63841699999989,13.205416999999898
52,12.579959000000144,13.048207999999704
53,12.93183399999998,13.303625000000011
54,12.537000000000035,12.828417000000172
55,12.566250000000082,13.037874999999985
56,13.185959000000139,13.393584000000146
57,12.701957999999877,13.008041999999932
58,12.629500000000007,12.949583000000302
59,12.942790999999943,13.339457999999922
60,12.885625000000118,13.114000000000033
61,12.890040999999883,13.13416600000005
62,12.792417000000114,13.279875000000175
63,12.735167000000047,13.058291999999938
64,13.289625000000115,13.04670800000008
65,13.261166000000003,13.201082999999926
66,13.239542000000029,12.97375000000011
67,13.881292000000258,13.636166999999887
68,13.264207999999826,12.996250000000146
69,13.292041000000154,12.983416000000034
70,13.435541999999714,13.444292000000132
71,13.686916999999994,13.232750000000124
72,13.19229200000018,12.957707999999911
73,13.386499999999842,13.170292000000245
74,13.66012499999988,13.44058300000006
75,13.447042000000238,13.365832999999839
76,13.75916600000005,13.499084000000039
77,13.480540999999903,13.259250000000293
78,13.453415999999834,13.644166999999925
79,13.651624999999967,13.509000000000015
80,14.41983300000038,14.304250000000138
81,13.9074999999998,13.71566699999994
82,13.935292000000118,13.848291000000245
83,14.023208000000068,14.15887500000008
84,14.028041999999914,13.17904099999987
85,13.568874999999935,13.366457999999966
86,13.240916000000198,12.951332999999977
87,13.54287500000055,13.30820900000026
88,13.63458300000002,13.42587500000036
89,13.580417000000125,13.288624999999683
90,13.508542000000034,13.139958000000206
91,12.907541000000037,12.716875000000073
92,13.524457999999868,13.33575000000019
93,13.277000000000044,13.201332999999977
94,13.442125000000033,13.187458000000333
95,13.53887500000019,13.410292000000027
96,13.909875000000739,13.870208000000275
97,14.051832999999988,13.456832999999733
98,13.347584000000097,13.020166999999674
99,13.02945899999986,12.965542000000369
100,13.062249999999949,12.741708000000017
